id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,:@computed_region_awaf_s7ux,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6,:@computed_region_d9mm_jgwp,:@computed_region_d3ds_rm58
12612798,JF138205,2022-02-08T11:30:00.000,010XX S RACINE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,1231,012,28,28,26,1168533,1895592,2022,2022-02-15T15:49:52.000,41.869033331,-87.656742887,"{'latitude': '41.869033331', 'longitude': '-87.656742887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,14917,29,87,26,44,15,95
12612664,JF137732,2022-02-08T11:30:00.000,001XX W CERMAK RD,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,CTA TRAIN,True,False,0914,009,25,34,04B,1175616,1889758,2022,2022-02-15T15:49:52.000,41.852868298,-87.63091491,"{'latitude': '41.852868298', 'longitude': '-87.63091491', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",8,21194,35,3,26,40,23,157
12615657,JF140845,2022-02-08T11:20:00.000,056XX S Oakley ave,0820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,False,False,0824,008,15,63,06,1162071,1867542,2022,2022-02-15T15:49:52.000,41.792198324,-87.681248126,"{'latitude': '41.792198324', 'longitude': '-87.681248126', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",19,22257,61,112,3,23,13,269
12612758,JF138086,2022-02-08T11:20:00.000,026XX W OGDEN AVE,0820,THEFT,$500 AND UNDER,HOSPITAL BUILDING / GROUNDS,False,False,1023,010,28,29,06,1158801,1893119,2022,2022-02-15T15:49:52.000,41.862452101,-87.692539235,"{'latitude': '41.862452101', 'longitude': '-87.692539235', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",11,14920,30,16,23,43,21,151
12612521,JF137627,2022-02-08T11:14:00.000,013XX E 47TH ST,0860,THEFT,RETAIL THEFT,CONVENIENCE STORE,False,False,0222,002,4,39,06,1185766,1874101,2022,2022-02-15T15:49:52.000,41.809670667,-87.594156219,"{'latitude': '41.809670667', 'longitude': '-87.594156219', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",1,4301,5,356,10,10,24,113
12612459,JF137654,2022-02-08T11:10:00.000,015XX N MILWAUKEE AVE,0890,THEFT,FROM BUILDING,RESTAURANT,False,False,1424,014,1,24,06,1163022,1910404,2022,2022-02-15T15:49:52.000,41.909796068,-87.67655887,"{'latitude': '41.909796068', 'longitude': '-87.67655887', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",24,21560,25,481,41,4,7,200
12612503,JF137615,2022-02-08T11:10:00.000,047XX S ARCHER AVE,0810,THEFT,OVER $500,GAS STATION,False,False,0821,008,14,57,06,1152885,1873097,2022,2022-02-15T15:49:52.000,41.807628306,-87.714785472,"{'latitude': '41.807628306', 'longitude': '-87.714785472', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",49,22248,54,698,8,56,13,103
12613238,JF138548,2022-02-08T11:05:00.000,083XX S MERRILL AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,0412,004,7,46,07,1191965,1850197,2022,2022-02-15T15:49:52.000,41.743927799,-87.572195691,"{'latitude': '41.743927799', 'longitude': '-87.572195691', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",9,21202,42,507,37,25,19,240
12613836,JF139424,2022-02-08T11:00:00.000,051XX N KEDZIE AVE,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1713,017,39,14,06,1154120,1933774,2022,2022-02-15T15:49:52.000,41.974107439,-87.708635548,"{'latitude': '41.974107439', 'longitude': '-87.708635548', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",28,21849,14,750,38,20,1,1
12612475,JF137708,2022-02-08T11:00:00.000,022XX N KEDZIE BLVD,0820,THEFT,$500 AND UNDER,ALLEY,False,False,1413,014,32,22,06,1154668,1914774,2022,2022-02-15T15:49:52.000,41.921959147,-87.707130855,"{'latitude': '41.921959147', 'longitude': '-87.707130855', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",10,22535,23,321,40,1,7,185
