,community_area_name,community_area,assault_homicide,firearm_related,below_poverty_level,crowded_housing,dependency,no_high_school_diploma,per_capita_income,unemployment,adult_fruit_and_vegetable_servings_rate,adult_soda_consumption_rate,low_food_access,poverty_rate,crime_rate,population
52,SOUTH DEERING,51,1.5645348412270275,1.419956102805994,0.531103795466881,0.29723494316565224,0.7993284305522163,0.06890496845230436,-0.6853418354589991,-0.1546323213797756,-0.8850364704397099,0.7156390045000426,1.8915461817904216,1.8564735093295688,0.17005334066850594,-0.9745956879483907
53,CALUMET HEIGHTS,48,0.14780082288354027,0.6277104991650829,-0.7491050779036987,-0.8103325256645348,0.9228146765669037,-0.7869792997197779,0.19662379872088373,0.7138820542748343,-0.2564021582408688,1.9137846143386268,0.5734260426744705,-0.33287628366697636,0.03624648792449164,-1.098290290716976
54,WOODLAWN,42,0.9016592913598914,0.6650805748085221,0.9202872929715373,-0.8103325256645348,0.2779420584902019,-0.25105176731296003,-0.4612986018339112,0.729965653823994,-0.4616705050813065,0.5232360598544309,0.4359726781071243,1.5889494490863836,0.7156405401301301,-0.6326415820068202
55,GRAND BOULEVARD,38,0.9666470903664734,0.7248726958380249,0.9202872929715373,-0.5729966394866375,0.8404905125571127,-0.1310679914009859,-0.2565039686430068,1.260724438946256,0.6544761308635749,-0.1326830696192468,-0.698570366907622,0.9610266886879184,0.4847236392941351,-0.6457930991268532
56,WEST PULLMAN,53,1.7335031186441408,2.2719938274764075,0.5106204534929518,-0.41477271536803945,0.9090939825652725,0.12489739721122586,-0.6380714629641675,0.6817148551765155,-1.2570853490880036,1.1879007777210902,1.5861831055857132,0.3202052321092507,0.5498722846877714,-0.45888574844325875
57,AUBURN GRESHAM,71,1.3240799849026743,1.233105724588798,0.531103795466881,-0.20380748320990863,0.8953732885636404,-0.12306907300685417,-0.6515585775541056,1.8397340227159957,-0.9620121005048744,0.5932007669982896,-0.06626367857804996,0.5875379212632886,0.7416390573355558,0.4284526171573024
58,NEW CITY,61,0.6092141958302725,0.6351845142937709,1.155845725671724,1.9322154923911663,0.8816525945620082,1.7086832392492846,-0.88057763986286,0.7460492533731531,-0.7054266669543269,1.231628719686002,-0.2325581874762781,0.5542858483021125,0.1531431196124611,0.12792534748776127
59,AVALON PARK,45,0.3167691003006535,0.17926959144381266,-0.26774654151636085,-1.1267803739017312,0.8679319005603761,-0.619002013443014,-0.16229058080358494,0.617380456979878,-2.257768539935139,1.9750037330895032,-0.32755699122838655,0.16492716222342663,0.3703838197328356,-1.2459010597995035
60,SOUTH CHICAGO,46,1.2785885255980667,1.3153198910043644,0.8895622800106433,0.270864289145886,1.0325802285799601,0.5728368272825959,-0.6927401070544505,0.7943000520206316,-0.6156217652116349,1.1529184241491608,-0.06144185573552513,0.9429523801690977,0.7761660986409301,-0.3838170573398543
61,WASHINGTON PARK,40,1.7789945779487482,1.7488127684682588,2.0263877595637183,0.007157748948222412,0.7307249605440564,0.5808357456767276,-0.8437172247456991,1.6788980272244012,-0.24357288656334125,2.7883434536368634,1.6630671789788518,1.7513473046938788,1.8945598778755464,-1.1824472600785358
62,WEST ENGLEWOOD,67,1.9479628553658614,1.733864738210883,1.3299541324501225,0.5345708293435496,0.7307249605440564,0.7408141135593598,-1.0092289999076576,3.5285119753777385,-1.1031340889576753,0.7068934161070601,1.5789422189280822,1.372955809492765,2.1305801011663874,-0.46499427588115266
63,OAKLAND,36,0.10880814347959099,-0.2616973011487698,1.9239710496940718,-0.3620314073285067,0.6758421845375288,-0.27504852249535466,-0.43615757269538585,2.225740411895823,-0.2307436148858137,-0.18515659997714082,-0.816144132928712,0.5450834994966806,0.5358092272990325,-1.4834204034505107
64,GREATER GRAND CROSSING,69,2.1104323528823166,2.1299875400313386,0.6437621763234922,-0.17743682919014214,1.0051388405766957,-0.25105176731296003,-0.5735821043666481,0.9873032466105448,-0.03830453972290309,-0.05397277408240533,-0.6978057283590523,1.623784876041356,1.4178753904343142,-0.29721236730653633
65,HUMBOLDT PARK,23,0.7651849134460692,0.49317822684870183,1.3606791454110168,1.6685089521935026,0.37398691650162513,1.2607438091779142,-0.8238139100110332,-0.07421432363397835,-1.6676220427688797,0.41828899913864226,-0.4453544570209022,0.734012449267394,0.5328399772037552,0.8450259509104787
66,SOUTH SHORE,43,1.0511312290750299,1.0387813312429142,1.2480207645544057,-0.5202553314471049,0.2779420584902019,-0.4910193191369082,-0.4980935455210238,0.7943000520206316,-0.08962162643301286,0.8730595955737255,1.3250290704618468,1.1615578399500677,1.1883234617562903,0.32555377435079985
67,ROSELAND,49,1.5385397216243948,1.614280496151878,0.01902024611864909,-0.4675140234075721,0.7307249605440564,-0.2910463592836181,-0.5237583460999351,0.8103836515697913,-1.2827438924430588,0.43578017592460727,1.7123450174684611,0.41713494354541564,0.8781808870154985,0.11847342905796511
68,EAST GARFIELD PARK,27,1.3760702241079397,1.5694364053797507,2.0878377854855064,0.6927947534621476,1.0463009225815922,0.41285845939996363,-0.8103922668511434,0.5852132578815586,-0.2179143432082866,0.1646669357421538,1.0988249065684046,2.4455204322029074,2.155926831803937,-0.8153299316464966
69,NORTH LAWNDALE,29,1.9154689558625706,1.60680648102319,1.975179404628895,0.6136827914028485,0.7307249605440564,0.7488130319534912,-0.8790063255417021,0.9229688484139073,-1.5265000543160787,1.3803037223667025,-0.19111406730075176,1.8438289628490243,2.189754162257507,-0.21115031861087621
